freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.039e+02,5.077e+01,5.597e+01,2.107e+02
1.5,1.861e+02,2.161e+02,2.298e+02,6.319e+02
3.0,1.599e+02,2.256e+02,2.407e+02,6.261e+02
4.5,4.037e+02,2.303e+02,2.252e+02,8.592e+02
6.0,1.191e+03,1.926e+02,1.528e+02,1.537e+03
7.5,1.709e+03,1.463e+02,1.110e+02,1.966e+03
9.0,2.254e+03,1.297e+02,1.056e+02,2.489e+03
10.5,3.088e+03,1.137e+02,9.719e+01,3.299e+03
11.9,4.181e+03,1.181e+02,9.032e+01,4.390e+03
13.4,5.611e+03,9.982e+01,7.642e+01,5.787e+03
14.9,7.488e+03,9.113e+01,5.719e+01,7.637e+03
16.4,9.507e+03,9.190e+01,5.525e+01,9.654e+03
17.9,1.044e+04,8.938e+01,7.096e+01,1.060e+04
19.4,1.193e+04,8.921e+01,8.128e+01,1.210e+04
20.9,1.428e+04,9.105e+01,8.288e+01,1.446e+04
22.4,1.666e+04,1.062e+02,9.037e+01,1.686e+04
23.9,1.952e+04,1.273e+02,1.401e+02,1.979e+04
25.4,2.355e+04,1.832e+02,3.036e+02,2.403e+04
26.9,3.028e+04,3.963e+02,8.464e+02,3.152e+04
28.4,3.740e+04,1.247e+03,2.817e+03,4.146e+04
29.9,4.093e+04,2.819e+03,6.994e+03,5.074e+04
31.4,4.033e+04,4.623e+03,1.441e+04,5.936e+04
32.9,3.712e+04,6.393e+03,2.362e+04,6.714e+04
34.4,3.708e+04,6.879e+03,2.598e+04,6.993e+04
35.8,3.829e+04,6.395e+03,1.970e+04,6.438e+04
37.3,3.722e+04,7.554e+03,1.607e+04,6.085e+04
38.8,3.511e+04,1.012e+04,1.923e+04,6.446e+04
40.3,3.244e+04,1.107e+04,2.192e+04,6.544e+04
41.8,2.916e+04,1.060e+04,2.207e+04,6.183e+04
43.3,2.611e+04,8.229e+03,1.797e+04,5.230e+04
44.8,2.397e+04,6.354e+03,1.369e+04,4.402e+04
46.3,2.185e+04,5.728e+03,1.143e+04,3.900e+04
47.8,1.987e+04,4.596e+03,9.349e+03,3.382e+04
49.3,1.761e+04,2.615e+03,5.615e+03,2.584e+04
50.8,1.572e+04,1.344e+03,2.805e+03,1.987e+04
52.3,1.360e+04,7.073e+02,1.462e+03,1.577e+04
53.8,1.120e+04,4.530e+02,9.523e+02,1.261e+04
55.3,1.001e+04,2.813e+02,9.972e+02,1.129e+04
56.8,9.232e+03,2.665e+02,1.449e+03,1.095e+04
58.2,8.910e+03,3.916e+02,2.167e+03,1.147e+04
59.7,9.324e+03,5.500e+02,3.204e+03,1.308e+04
61.2,1.082e+04,9.004e+02,4.251e+03,1.597e+04
