freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.935e+01,2.485e+02,2.707e+02,5.485e+02
1.5,2.795e+01,1.535e+02,1.704e+02,3.518e+02
3.0,1.539e+01,2.220e+01,2.955e+01,6.714e+01
4.5,1.844e+01,2.844e+02,3.114e+01,3.339e+02
6.0,4.505e+01,1.204e+03,3.109e+01,1.280e+03
7.5,6.097e+01,1.710e+03,3.313e+01,1.804e+03
9.0,3.201e+01,2.340e+03,3.416e+01,2.406e+03
10.5,2.680e+01,3.448e+03,3.593e+01,3.510e+03
12.0,4.442e+01,4.877e+03,6.673e+01,4.988e+03
13.5,1.451e+02,6.885e+03,2.623e+02,7.292e+03
15.0,3.133e+02,9.041e+03,6.866e+02,1.004e+04
16.4,3.196e+02,1.008e+04,6.544e+02,1.105e+04
17.9,1.788e+02,1.098e+04,2.516e+02,1.141e+04
19.4,1.369e+02,1.304e+04,2.170e+02,1.339e+04
20.9,1.247e+02,1.566e+04,2.804e+02,1.606e+04
22.4,1.025e+02,1.929e+04,2.426e+02,1.963e+04
23.9,9.607e+01,2.701e+04,2.025e+02,2.731e+04
25.4,1.660e+02,3.578e+04,1.552e+03,3.750e+04
26.9,3.774e+02,4.133e+04,1.030e+04,5.201e+04
28.4,8.698e+02,5.049e+04,2.497e+04,7.633e+04
29.9,1.002e+03,4.591e+04,1.924e+04,6.615e+04
31.4,1.173e+03,4.077e+04,1.190e+04,5.384e+04
32.9,2.094e+03,5.404e+04,8.306e+03,6.444e+04
34.4,3.121e+03,8.878e+04,3.838e+03,9.574e+04
35.9,3.894e+03,1.254e+05,2.984e+03,1.323e+05
37.4,5.386e+03,1.617e+05,1.442e+04,1.815e+05
38.9,9.671e+03,2.340e+05,4.421e+04,2.879e+05
40.4,2.098e+04,4.007e+05,1.172e+05,5.389e+05
41.9,4.516e+04,6.069e+05,2.550e+05,9.071e+05
43.4,7.606e+04,6.866e+05,3.540e+05,1.117e+06
44.9,9.670e+04,6.284e+05,3.754e+05,1.101e+06
46.4,1.031e+05,5.438e+05,3.419e+05,9.888e+05
47.9,9.667e+04,4.775e+05,2.891e+05,8.633e+05
49.3,8.108e+04,4.095e+05,2.528e+05,7.433e+05
50.8,6.107e+04,3.313e+05,2.409e+05,6.333e+05
52.3,4.260e+04,2.460e+05,2.561e+05,5.447e+05
53.8,3.037e+04,1.731e+05,2.960e+05,4.995e+05
55.3,2.218e+04,1.153e+05,3.633e+05,5.008e+05
56.8,1.480e+04,7.710e+04,5.274e+05,6.193e+05
58.3,8.414e+03,5.510e+04,7.312e+05,7.947e+05
59.8,6.525e+03,4.761e+04,9.465e+05,1.001e+06
61.3,7.292e+03,5.172e+04,9.932e+05,1.052e+06
62.8,8.208e+03,5.581e+04,7.875e+05,8.515e+05
64.3,7.750e+03,5.087e+04,5.512e+05,6.099e+05
65.8,6.712e+03,4.560e+04,3.619e+05,4.142e+05
67.3,5.594e+03,4.214e+04,2.366e+05,2.843e+05
68.8,4.915e+03,3.944e+04,1.530e+05,1.973e+05
70.3,4.944e+03,3.730e+04,1.037e+05,1.460e+05
71.8,5.198e+03,3.464e+04,7.331e+04,1.132e+05
73.3,4.892e+03,3.119e+04,5.778e+04,9.386e+04
74.8,4.116e+03,2.720e+04,5.197e+04,8.330e+04
76.3,3.477e+03,2.369e+04,5.018e+04,7.735e+04
77.8,3.162e+03,2.047e+04,5.258e+04,7.622e+04
79.3,2.663e+03,1.725e+04,5.566e+04,7.557e+04
80.7,2.703e+03,1.462e+04,5.657e+04,7.389e+04
82.2,4.995e+03,1.289e+04,5.649e+04,7.438e+04
83.7,1.023e+04,1.181e+04,5.509e+04,7.713e+04
85.2,1.486e+04,1.046e+04,5.265e+04,7.798e+04
86.7,1.443e+04,8.684e+03,5.145e+04,7.456e+04
88.2,1.097e+04,7.194e+03,5.024e+04,6.840e+04
89.7,7.711e+03,6.188e+03,5.132e+04,6.522e+04
91.2,5.931e+03,5.500e+03,5.452e+04,6.595e+04
92.7,4.858e+03,4.759e+03,5.898e+04,6.860e+04
94.2,3.957e+03,4.061e+03,6.333e+04,7.135e+04
95.7,2.836e+03,3.558e+03,6.485e+04,7.124e+04
97.2,1.930e+03,3.150e+03,6.302e+04,6.810e+04
98.7,1.434e+03,3.081e+03,6.331e+04,6.782e+04
100.2,1.097e+03,3.316e+03,6.279e+04,6.720e+04
101.7,9.395e+02,3.881e+03,6.033e+04,6.515e+04
103.2,1.255e+03,4.539e+03,5.973e+04,6.552e+04
104.7,1.683e+03,5.723e+03,6.181e+04,6.922e+04
106.2,2.097e+03,7.581e+03,6.555e+04,7.523e+04
107.7,2.645e+03,9.794e+03,6.827e+04,8.071e+04
109.2,3.317e+03,1.171e+04,6.271e+04,7.773e+04
110.7,4.488e+03,1.267e+04,5.818e+04,7.534e+04
112.2,5.242e+03,1.200e+04,4.947e+04,6.671e+04
113.6,6.284e+03,1.061e+04,4.255e+04,5.945e+04
115.1,7.642e+03,9.083e+03,3.514e+04,5.186e+04
116.6,8.150e+03,7.755e+03,2.418e+04,4.009e+04
118.1,8.155e+03,6.883e+03,1.782e+04,3.286e+04
119.6,7.378e+03,6.141e+03,1.680e+04,3.032e+04
121.1,7.918e+03,5.724e+03,1.658e+04,3.022e+04
122.6,9.042e+03,5.832e+03,1.709e+04,3.197e+04
124.1,8.185e+03,5.995e+03,1.485e+04,2.903e+04
125.6,6.379e+03,6.123e+03,1.229e+04,2.480e+04
127.1,5.341e+03,6.285e+03,1.556e+04,2.718e+04
128.6,4.177e+03,6.559e+03,2.490e+04,3.563e+04
130.1,3.009e+03,6.611e+03,4.011e+04,4.973e+04
131.6,2.143e+03,5.899e+03,5.439e+04,6.243e+04
133.1,1.109e+03,3.588e+03,4.820e+04,5.290e+04
134.6,4.996e+02,2.425e+03,4.005e+04,4.297e+04
136.1,4.014e+02,2.591e+03,4.045e+04,4.344e+04
137.6,5.234e+02,3.109e+03,4.302e+04,4.665e+04
139.1,6.789e+02,3.762e+03,4.541e+04,4.985e+04
140.6,8.222e+02,4.474e+03,4.706e+04,5.235e+04
142.1,1.033e+03,5.702e+03,5.070e+04,5.743e+04
143.6,1.089e+03,6.330e+03,4.901e+04,5.643e+04
145.0,1.073e+03,6.727e+03,4.487e+04,5.267e+04
146.5,1.070e+03,7.687e+03,4.652e+04,5.528e+04
148.0,1.058e+03,8.758e+03,5.109e+04,6.090e+04
149.5,1.049e+03,9.195e+03,5.525e+04,6.550e+04
151.0,1.022e+03,8.125e+03,5.108e+04,6.023e+04
152.5,9.204e+02,5.843e+03,3.761e+04,4.437e+04
154.0,8.223e+02,3.740e+03,2.449e+04,2.905e+04
155.5,7.750e+02,2.299e+03,1.476e+04,1.783e+04
157.0,7.625e+02,1.695e+03,1.031e+04,1.276e+04
158.5,8.422e+02,1.730e+03,9.463e+03,1.204e+04
160.0,8.639e+02,1.773e+03,8.675e+03,1.131e+04
161.5,8.519e+02,2.143e+03,1.003e+04,1.302e+04
163.0,6.414e+02,3.161e+03,1.410e+04,1.790e+04
164.5,5.090e+02,3.903e+03,1.457e+04,1.898e+04
166.0,7.956e+02,5.299e+03,1.985e+04,2.594e+04
167.5,8.838e+02,4.966e+03,1.858e+04,2.443e+04
169.0,9.265e+02,4.153e+03,1.577e+04,2.084e+04
170.5,8.816e+02,3.551e+03,1.323e+04,1.766e+04
172.0,8.247e+02,3.875e+03,1.368e+04,1.838e+04
173.5,7.659e+02,4.619e+03,1.490e+04,2.029e+04
175.0,7.754e+02,5.666e+03,1.655e+04,2.299e+04
176.5,8.243e+02,6.500e+03,1.723e+04,2.456e+04
177.9,7.636e+02,6.357e+03,1.569e+04,2.281e+04
179.4,6.481e+02,5.311e+03,1.234e+04,1.830e+04
180.9,5.002e+02,3.904e+03,8.470e+03,1.287e+04
182.4,4.074e+02,3.241e+03,6.557e+03,1.021e+04
183.9,3.398e+02,2.795e+03,5.352e+03,8.486e+03
185.4,3.171e+02,2.697e+03,5.128e+03,8.142e+03
186.9,3.603e+02,2.719e+03,4.843e+03,7.922e+03
188.4,4.240e+02,2.730e+03,4.103e+03,7.257e+03
189.9,4.585e+02,2.696e+03,3.281e+03,6.436e+03
191.4,4.641e+02,2.630e+03,2.845e+03,5.940e+03
192.9,4.468e+02,2.238e+03,2.255e+03,4.939e+03
194.4,4.070e+02,1.791e+03,1.689e+03,3.887e+03
195.9,3.465e+02,1.340e+03,1.191e+03,2.878e+03
197.4,3.570e+02,1.067e+03,9.045e+02,2.329e+03
198.9,3.719e+02,8.362e+02,7.223e+02,1.930e+03
